id,col,row,Longitude,Latitude,vs30
10071,13,47,13.038865358889172,42.64791114071257,533.3978
10072,14,47,13.044947263939742,42.64801513412716,532.38727
10073,15,47,13.051029201186577,42.648118804860346,494.9751
10074,16,47,13.05711117052979,42.6482221529074,445.85773
10075,17,47,13.06319317186954,42.64832517826353,500.84424
10076,18,47,13.069275205105958,42.64842788092405,562.4758
10077,19,47,13.07535727013918,42.6485302608843,558.72107
10078,20,47,13.081439366869322,42.64863231813946,547.12445
10079,21,47,13.087521495196524,42.64873405268502,540.65533
10080,22,47,13.093603655020896,42.64883546451612,574.73047
10081,23,47,13.099685846242563,42.64893655362829,564.4481
10082,24,47,13.105768068761645,42.64903732001683,507.08353
10083,25,47,13.111850322478244,42.64913776367706,456.23233
10084,26,47,13.117932607292486,42.64923788460443,476.76028
10085,27,47,13.12401492310445,42.64933768279432,505.4471
10086,28,47,13.13009726981426,42.64943715824221,502.36758
10087,29,47,13.136179647322017,42.64953631094348,537.90955
10088,30,47,13.142262055527809,42.649635140893615,606.8804
10089,31,47,13.148344494331722,42.64973364808809,542.9855
10090,32,47,13.154426963633853,42.64983183252238,578.55566
10091,33,47,13.16050946333429,42.649929694191925,552.13434
10092,34,47,13.16659199333313,42.65002723309234,532.5408
10093,35,47,13.172674553530427,42.65012444921908,453.71478
10094,36,47,13.178757143826273,42.65022134256769,552.0909
10095,37,47,13.184839764120731,42.650317913133776,530.50616
10096,38,47,13.190922414313894,42.65041416091287,550.3656
10097,39,47,13.197005094305815,42.65051008590057,529.15186
10098,40,47,13.203087803996564,42.65060568809247,568.85205
10099,41,47,13.209170543286191,42.65070096748418,525.0754
10100,42,47,13.21525331207477,42.65079592407138,481.92386
10101,43,47,13.221336110262335,42.650890557849614,495.37753
10102,44,47,13.227418937748975,42.65098486881467,485.2058
10103,45,47,13.2335017944347,42.65107885696215,469.6098
10104,46,47,13.239584680219586,42.6511725222877,535.024
10105,47,47,13.245667595003654,42.651265864787085,485.04953
10106,48,47,13.251750538686965,42.651358884456094,476.9612
10107,49,47,13.25783351116954,42.651451581290296,472.5257
10108,50,47,13.263916512351429,42.65154395528554,497.27646
10109,51,47,13.269999542132645,42.65163600643765,491.20547
10110,52,47,13.276082600413227,42.6517277347422,473.97098
10111,53,47,13.282165687093196,42.65181914019524,463.50232
10112,54,47,13.288248802072586,42.65191022279237,411.57858
10113,55,47,13.2943319452514,42.65200098252951,411.57858
10114,56,47,13.300415116529663,42.65209141940248,424.22107
10115,57,47,13.3064983158074,42.65218153340715,439.8482
10116,58,47,13.312581542984605,42.65227132453939,459.1768
10117,59,47,13.31866479796128,42.65236079279503,458.7961
10118,60,47,13.324748080637454,42.65244993817,484.30112
10119,61,47,13.330831390913112,42.65253876066025,549.34424
