mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.011,0.014,6314.0,2346.0,1.0
0.005,0.005,4496.0,2215.0,1.0
0.01,0.01,5226.0,2680.0,1.0
0.011,0.025,8050.0,1755.0,1.0
0.012,0.023,7162.0,1923.0,1.0
0.011,0.018,6578.0,2235.0,1.0
0.012,0.021,6695.0,2082.0,1.0
0.011,0.023,7686.0,1981.0,1.0
0.012,0.022,6664.0,2044.0,1.0
0.011,0.021,7748.0,2216.0,1.0
0.012,0.023,7416.0,1802.0,1.0
0.01,0.02,9036.0,2212.0,1.0
0.01,0.022,8811.0,2020.0,1.0
0.013,0.019,5947.0,2234.0,1.01
0.011,0.024,7482.0,1772.0,1.0
0.012,0.022,6980.0,2168.0,1.0
0.01,0.01,5537.0,2235.0,1.0
0.008,0.006,4876.0,2320.0,1.0
0.006,0.005,5180.0,2632.0,1.0
0.009,0.012,5735.0,2049.0,1.0
0.011,0.022,8080.0,1865.0,1.01
0.011,0.024,8668.0,2171.0,1.0
0.011,0.018,7210.0,2032.0,1.0
0.011,0.018,7324.0,2053.0,1.0
0.012,0.013,6114.0,2330.0,1.0
0.011,0.02,8675.0,2281.0,1.0
0.012,0.02,5964.0,2160.0,1.0
0.011,0.021,7716.0,2096.0,1.0
0.011,0.02,7426.0,2334.0,1.0
0.01,0.022,9183.0,2029.0,1.01
0.011,0.025,9110.0,1617.0,1.0
0.011,0.02,7440.0,2274.0,1.0
0.009,0.014,6214.0,2356.0,1.0
0.012,0.02,6996.0,2011.0,1.0
0.009,0.011,6185.0,2442.0,1.0
0.012,0.02,7327.0,2142.0,1.0
0.01,0.016,7618.0,2305.0,1.01
0.011,0.014,5552.0,2468.0,1.0
0.011,0.013,5572.0,2656.0,1.0
0.009,0.015,6142.0,2129.0,1.0
0.011,0.019,8103.0,2265.0,1.0
0.005,0.007,5163.0,2518.0,1.0
0.01,0.017,7148.0,2220.0,1.0
0.011,0.023,9280.0,2092.0,1.0
0.012,0.023,7242.0,2109.0,1.0
0.011,0.022,7485.0,2129.0,1.0
0.011,0.021,9142.0,2128.0,1.0
0.011,0.023,8426.0,1885.0,1.0
0.011,0.024,7643.0,1745.0,1.0
0.013,0.023,6665.0,1796.0,1.0
0.012,0.023,6304.0,2044.0,1.01
0.011,0.024,8791.0,1614.0,1.0
0.011,0.021,7303.0,2095.0,1.0
0.012,0.018,6772.0,2069.0,1.0
0.013,0.023,6464.0,1889.0,1.0
0.01,0.018,8172.0,2242.0,1.0
0.012,0.022,6327.0,1814.0,1.0
0.011,0.017,5797.0,2031.0,1.0
0.012,0.022,7237.0,2144.0,1.0
0.011,0.022,8608.0,2163.0,1.0
0.011,0.02,7764.0,2044.0,1.0
0.01,0.023,8720.0,1641.0,1.01
0.01,0.016,6691.0,2482.0,1.0
0.01,0.018,8544.0,2071.0,1.0
0.01,0.025,9647.0,1903.0,1.0
