mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.013,0.018,5401.0,2390.0,1.0
0.006,0.006,3369.0,2349.0,1.0
0.014,0.019,4868.0,2093.0,1.0
0.013,0.016,4856.0,2123.0,1.0
0.013,0.021,6422.0,2254.0,1.0
0.014,0.02,4914.0,2239.0,1.0
0.012,0.02,5513.0,1822.0,1.0
0.013,0.024,5827.0,1529.0,1.0
0.011,0.017,7081.0,2096.0,1.0
0.014,0.021,4840.0,1839.0,1.0
0.012,0.01,4384.0,2338.0,1.0
0.012,0.022,7240.0,2157.0,1.0
0.012,0.015,5460.0,2235.0,1.0
0.013,0.016,5003.0,2149.0,1.0
0.013,0.021,5735.0,2193.0,1.01
0.013,0.018,5785.0,2279.0,1.0
0.012,0.011,3309.0,2237.0,1.0
0.013,0.012,3217.0,2511.0,1.0
0.014,0.019,4801.0,2203.0,1.0
0.013,0.021,5916.0,2058.0,1.0
0.013,0.02,5971.0,1988.0,1.0
0.012,0.02,6375.0,2309.0,1.0
0.014,0.024,5299.0,1784.0,1.0
0.01,0.009,4194.0,2612.0,1.0
0.013,0.02,6054.0,2320.0,1.0
0.013,0.021,5508.0,2442.0,1.0
0.013,0.016,5011.0,2236.0,1.0
0.013,0.023,5997.0,1868.0,1.0
0.012,0.021,6738.0,1824.0,1.0
0.013,0.013,5024.0,2439.0,1.0
0.015,0.022,4482.0,1916.0,1.0
0.013,0.021,5906.0,2076.0,1.0
0.012,0.014,5923.0,2179.0,1.0
0.014,0.02,5009.0,2260.0,1.0
0.014,0.021,5247.0,2300.0,1.0
0.014,0.022,5086.0,1860.0,1.0
0.013,0.022,6703.0,1918.0,1.0
0.011,0.012,4240.0,1921.0,1.0
0.014,0.019,4994.0,2267.0,1.0
0.013,0.022,6140.0,2047.0,1.0
0.014,0.024,4708.0,1595.0,1.0
0.013,0.022,6100.0,2069.0,1.0
0.015,0.015,3331.0,2142.0,1.0
0.013,0.018,5246.0,2290.0,1.0
0.013,0.023,5739.0,1562.0,1.0
0.015,0.022,4319.0,2027.0,1.0
0.012,0.022,5717.0,2307.0,1.0
0.013,0.019,5545.0,2018.0,1.0
0.012,0.021,6427.0,1816.0,1.0
0.013,0.019,5227.0,2394.0,1.0
0.014,0.023,5207.0,2036.0,1.0
0.012,0.014,5422.0,2117.0,1.0
0.005,0.005,3614.0,2268.0,1.0
0.012,0.011,4136.0,2239.0,1.0
0.013,0.022,6266.0,1841.0,1.0
0.014,0.024,5314.0,1812.0,1.0
0.013,0.019,4553.0,1903.0,1.0
0.013,0.022,5727.0,1809.0,1.0
0.014,0.021,5627.0,2221.0,1.0
0.012,0.021,6383.0,2275.0,1.0
0.013,0.019,5882.0,2510.0,1.0
0.013,0.024,5875.0,1747.0,1.0
0.011,0.021,7173.0,1684.0,1.0
0.013,0.02,5938.0,2216.0,1.0
0.014,0.021,5496.0,1918.0,1.0
0.011,0.021,7143.0,2282.0,1.0
0.014,0.021,4936.0,1972.0,1.0
0.012,0.011,3329.0,1844.0,1.0
0.009,0.007,3052.0,2186.0,1.01
0.008,0.006,3479.0,2324.0,1.0
0.011,0.012,3834.0,2296.0,1.0
0.013,0.023,5850.0,2127.0,1.0
0.013,0.02,5520.0,2025.0,1.0
0.014,0.018,4750.0,2382.0,1.01
0.012,0.016,5894.0,2104.0,1.0
0.014,0.013,4275.0,2057.0,1.0
0.012,0.021,6527.0,1997.0,1.0
0.014,0.018,4713.0,2378.0,1.0
0.012,0.024,7586.0,1766.0,1.0
0.012,0.02,7075.0,2145.0,1.0
0.013,0.02,5019.0,2144.0,1.0
0.014,0.021,5061.0,2021.0,1.0
0.013,0.021,6234.0,2428.0,1.0
0.01,0.014,4817.0,2107.0,1.0
0.012,0.021,6906.0,2013.0,1.0
0.01,0.012,4219.0,2008.0,1.0
0.014,0.021,5180.0,2303.0,1.0
0.013,0.016,5169.0,2273.0,1.0
0.012,0.014,4368.0,2207.0,1.0
0.013,0.013,4090.0,2461.0,1.0
0.011,0.013,4188.0,2286.0,1.0
0.014,0.019,5008.0,2244.0,1.0
0.007,0.007,3408.0,2281.0,1.0
0.012,0.015,4206.0,2055.0,1.0
0.013,0.02,6027.0,2226.0,1.0
0.013,0.02,5999.0,1967.0,1.0
0.013,0.02,5498.0,2254.0,1.0
0.012,0.022,6889.0,1995.0,1.0
0.013,0.021,5428.0,2172.0,1.0
0.013,0.023,6270.0,2048.0,1.0
0.015,0.022,4647.0,1810.0,1.0
0.014,0.02,4938.0,2056.0,1.0
0.012,0.019,5947.0,2324.0,1.01
0.013,0.021,5365.0,1806.0,1.0
0.012,0.018,6254.0,2062.0,1.0
0.012,0.022,7195.0,1884.0,1.0
0.014,0.017,4142.0,1959.0,1.0
0.013,0.021,5724.0,2311.0,1.0
0.012,0.018,5447.0,2338.0,1.0
0.012,0.019,6421.0,2438.0,1.0
0.013,0.022,6342.0,2445.0,1.0
0.012,0.02,7014.0,2268.0,1.0
0.014,0.019,4633.0,2060.0,1.0
0.013,0.014,4040.0,2151.0,1.0
0.013,0.017,5282.0,2231.0,1.0
0.013,0.021,6300.0,2209.0,1.0
0.013,0.025,6596.0,2105.0,1.0
0.013,0.023,6162.0,1884.0,1.0
0.013,0.016,4793.0,2194.0,1.0
0.012,0.012,3297.0,2277.0,1.0
0.013,0.02,6264.0,2241.0,1.0
0.012,0.021,6570.0,2272.0,1.0
0.012,0.014,6645.0,2260.0,1.0
0.012,0.019,6423.0,2276.0,1.0
0.012,0.02,6792.0,2198.0,1.0
0.014,0.02,4818.0,2116.0,1.0
0.012,0.02,6615.0,1966.0,1.0
0.014,0.018,4493.0,2288.0,1.0
0.014,0.021,5533.0,2226.0,1.01
0.014,0.017,4029.0,2328.0,1.0
0.013,0.017,4508.0,2181.0,1.0
0.013,0.021,5787.0,2021.0,1.0
0.015,0.023,4687.0,1747.0,1.01
0.013,0.022,6604.0,2207.0,1.01
0.013,0.019,5101.0,2041.0,1.0
0.014,0.023,5864.0,2175.0,1.0
0.01,0.011,4457.0,2363.0,1.0
0.014,0.025,5219.0,1746.0,1.0
0.015,0.019,4523.0,1860.0,1.0
0.012,0.015,5173.0,2491.0,1.0
0.012,0.017,4710.0,2049.0,1.0
0.013,0.021,6178.0,2154.0,1.0
0.012,0.015,4762.0,2173.0,1.0
0.014,0.022,5448.0,2067.0,1.0
0.013,0.02,5971.0,2072.0,1.0
0.013,0.019,5897.0,2262.0,1.0
0.013,0.02,5913.0,2112.0,1.0
0.013,0.019,5410.0,2140.0,1.0
0.014,0.017,4701.0,2362.0,1.0
0.013,0.015,4502.0,2256.0,1.0
0.013,0.02,6056.0,2287.0,1.0
0.013,0.022,5889.0,1969.0,1.0
0.012,0.013,4457.0,2265.0,1.0
0.014,0.02,5214.0,2138.0,1.0
0.012,0.018,6703.0,2367.0,1.0
0.012,0.022,6382.0,1994.0,1.0
0.012,0.021,6582.0,2294.0,1.0
0.014,0.02,4965.0,2094.0,1.0
0.012,0.022,6225.0,1834.0,1.0
