x,y,rec_logPGA,mean_logPGA_1,q05_logPGA_1,q95_logPGA_1,mean_logPGA_2,q05_logPGA_2,q95_logPGA_2
-8.777555110220442,0,-1.9699367654387536,-1.682848072112296,-2.7780215144526847,-0.5876746297719075,-1.9266965550875839,-2.3975253752374495,-1.4611790825715665
-8.697394789579159,0,-1.9553285495105048,-1.6732944876726026,-2.7697741910383105,-0.5768147843068945,-1.95274875648588,-2.4480404196195398,-1.4773249601598373
-8.617234468937877,0,-1.751869015342391,-1.6637802638043098,-2.761523525137566,-0.5660370024710539,-1.964179473221308,-2.4429176288334915,-1.4985503890189762
-8.537074148296593,0,-1.7426529768125316,-1.654304969636291,-2.7532705617257998,-0.5553393775467821,-1.9629721858875502,-2.4632206301029944,-1.4824809813424662
-8.456913827655312,0,-1.8913716923483852,-1.6448682137985138,-2.745016324291005,-0.5447201033060227,-1.9491387182200544,-2.428728241289316,-1.475151039085369
-8.376753507014028,0,-1.8182196111608968,-1.6354696444757366,-2.7367618176366544,-0.5341774713148189,-1.919938542811967,-2.39888296625694,-1.4609520382256875
-8.296593186372746,0,-1.8773149567521916,-1.6261089494772123,-2.7285080305570233,-0.5237098683974011,-1.9219698166735357,-2.382231141643751,-1.4452190205991304
-8.216432865731463,0,-1.887503659685556,-1.6167858563219268,-2.7202559383930724,-0.5133157742507815,-1.9544250953049345,-2.438644727483759,-1.483526862121814
-8.136272545090181,0,-1.815898032868691,-1.6075001323388425,-2.7120065054763343,-0.5029937592013507,-1.9694328086107302,-2.44990872440089,-1.495094359710088
-8.056112224448897,0,-1.6279348824091882,-1.5982515847816,-2.703760687467672,-0.49274248209552773,-2.0172134082159987,-2.4990917573201665,-1.5239237867726725
-7.975951903807616,0,-1.8762026785183428,-1.5890400609570943,-2.6955194335972177,-0.48256068831697063,-2.0542852710471906,-2.554729853322687,-1.5643855900198251
-7.895791583166334,0,-1.9641327260833452,-1.579865448367293,-2.6872836888112976,-0.472447207923288,-2.077088587543283,-2.5774809853127554,-1.5952727831596512
-7.81563126252505,0,-2.006735959076821,-1.570727674863616,-2.679054395831671,-0.46240095389556135,-2.0917409302949226,-2.5845141078032268,-1.6063256316022434
-7.735470941883769,0,-2.0900637615863142,-1.561626708813172,-2.6708324971319723,-0.45242092049437144,-2.13519166542094,-2.6196610189991194,-1.643982416410602
-7.655310621242485,0,-2.016811912812534,-1.5525625592760715,-2.662618936835827,-0.44250618171631606,-2.172254403637124,-2.6640211687513866,-1.702396255327137
-7.575150300601203,0,-2.155845748800019,-1.5435352761930206,-2.654414662540728,-0.4326558898453128,-2.199820136678536,-2.6789072129940523,-1.724655635598916
-7.49498997995992,0,-2.273838984403316,-1.5345449505822908,-2.646220627071367,-0.42286927409321473,-2.213717738207136,-2.7168293247781325,-1.7258591033017832
-7.414829659318638,0,-2.390279389319092,-1.5255917147451772,-2.638037790165808,-0.41314563932454607,-2.2668671274697756,-2.763658744187517,-1.7815693546082851
-7.334669338677354,0,-2.4694841065102,-1.5166757424789201,-2.6298671200975208,-0.40348436486031947,-2.3160870752322915,-2.811974382112344,-1.8461101849459927
-7.254509018036073,0,-2.5079929028607126,-1.5077972492960612,-2.6217095952359926,-0.3938849033561298,-2.359968904574882,-2.842188465185339,-1.8686621276487236
-7.174348697394791,0,-2.543882710141694,-1.4989564926491097,-2.6135662055483557,-0.3843467797498634,-2.3966520863395373,-2.9159911465976767,-1.8865644054622488
-7.094188376753507,0,-2.816361456767755,-1.490153772159339,-2.6054379540441577,-0.37486959027452027,-2.427138337531188,-2.9502807787493186,-1.9153773006656225
-7.014028056112226,0,-2.9937930173250056,-1.4813894298484445,-2.5973258581651306,-0.3654530015317585,-2.4515217116382755,-2.968561776579832,-1.928928373461133
-6.933867735470942,0,-3.010329064206285,-1.4726638503717384,-2.5892309511215714,-0.35609674962190563,-2.4721256259202544,-2.9941573712001013,-1.9565405838113383
-6.85370741482966,0,-2.7143994250427466,-1.4639774612514793,-2.5811542831766867,-0.3468006393262719,-2.487777920932111,-3.0158574704970595,-1.9532411318152356
